,,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,ts_code,ann_date,name,gender,birth_year,edu,nationality,begin_date,end_date,resume
0,1447,150001.SZ,瑞福进取,国投瑞银基金,中国工商银行,股票型,20120717,20150813,20120817,20120717,20150814,36.4581,1.0,0.22,3.0,1.0,5.0,,深证100价格指数收益率*95%+银行活期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20120817,,E,150001.SZ,20150810,赵建,M,,博士,中国,20130926,20150813,同济大学管理学博士。曾任上海博弘投资有限公司、上海数君投资有限公司高级软件工程师、风控经理，上海一维科技有限公司研发工程师。2010年6月加入国投瑞银基金管理有限公司。2013年4月2日起任国投瑞银瑞福深证100指数分级证券投资基金的基金经理助理，2013年5月17日起任国投瑞银中证下游消费与服务产业指数基金的基金经理助理，2013年9月26日至2015年8月担任国投瑞银瑞福深证100指数分级证券投资基金基金经理，2014年4月25日至2022年1与月任国投瑞银中证下游消费与服务产业指数证券投资基金基金经理，2015年2月10日起任国投瑞银沪深300金融地产交易型开放式指数证券投资基金联接基金基金经理。2015年3月至2020年6月任国投瑞银瑞泽中证创业成长指数分级证券投资基金基金经理。2015年8月6日起任国投瑞银白银期货证券投资基金(LOF)基金经理。2015年8月起任国投瑞银瑞福深证100指数证券投资基金(LOF)基金经理。2019年10月至2020年8月任国投瑞银瑞和沪深300指数分级证券投资基金基金经理。2019年10月起任国投瑞银沪深 300 金融地产交易型开放式指数证券投资基金基金经理。
1,1651,150002.SZ,大成优选,大成基金,中国银行,股票型,20070801,20120726,20070907,20070723,20120727,46.7431,1.25,0.25,5.0,1.0,0.1,,沪深300指数*80%+中信标普全债指数*20%,D,股票型,契约型封闭式,,20070907,,E,150002.SZ,20120723,刘明,M,1969,硕士,中国,20070801,20120726,经济学硕士，具有基金从业资格。1992年至1996年曾任厦门证券公司鷺江营业部总经理。1996年至2000年曾任厦门产权交易中心副总经理。2001年至2004年曾任香港时富金融服务集团投资经理，2004年3月加盟大成基金管理有限公司，2004年10月至2008年1月任景宏证券投资基金基金经理，2007年8月1日-2012年7月26日担任大成优选股票型证券投资基金基金经理，2012年7月27日至2014年1月29日担任大成优选股票型证券投资基金(LOF)基金经理，同时任大成基金管理有限公司助理总经理、股票投资决策委员会主席。曾获“晨星(中国)2006年度大规模封闭式基金经理奖”。2018年2月起任东方阿尔法精选灵活配置混合型发起式证券投资基金基金经理。2019年9月至2021年8月任东方阿尔法优选混合型发起式证券投资基金基金经理。2021年3月起担任东方阿尔法招阳混合型证券投资基金基金经理。
2,1649,150003.SZ,建信优势,建信基金,交通银行,股票型,20080319,20130318,20080919,20080218,20130318,46.427,1.0,0.25,5.0,1.0,0.1,,沪深300指数收益率*90%+中国债券总指数收益率*10%,D,股票型,契约型封闭式,,20080919,,E,150003.SZ,20130312,万志勇,M,,硕士,中国,20110711,20130318,硕士，1997年7月毕业于中央财经大学投资经济系获学士学位。1999年12月毕业于中国人民银行研究生部，获经济学硕士学位。2000年1月进入西安创新互联网孵化器有限公司，任总经理。2001年进入北方证券北京资产管理部，担任经理助理。2002年7月加入大成基金管理公司市场部，担任渠道销售经理。2003年8月加入摩根士丹利华鑫基金管理有限公司(原巨田基金管理公司)，历任行业研究员、基金经理助理；2007年2月加入银华基金管理有限公司，任银华核心价值优选基金和银华优质增长基金基金经理助理；2008年10月23日至2009年11月11日，任银华领先策略基金基金经理；2009年6月1日至2010年6月19日，任银华和谐主题基金基金经理。2010年7月进入建信基金管理有限责任公司工作，2010年11月起任研究部执行总监。2010年11月17日至2015年9月28日任建信内生动力混合型证券投资基金基金经理；2011年5月6日至2012年5月18日任建信双利策略主题分级股票型证券投资基金基金经理；2011年7月11日至2015年9月28日任建信优势动力混合型证券投资基金的基金经理。
3,1645,150006.SZ,同庆A,长盛基金,中国建设银行,股票型,20090512,20120511,20090526,20090506,20120514,58.7469,1.5,0.25,3.0,1.0,0.1,,沪深300指数收益率*70%+中证全债指数收益率*30%,D,稳健增长型,契约型封闭式,,20090526,,E,150006.SZ,20120511,王宁,M,197110,硕士,中国,20090512,20120511,1971年10月出生。毕业于北京大学光华管理学院，EMBA。历任华夏基金管理有限公司基金经理助理，兴业基金经理等职务，2001年至2004年任基金兴业基金经理。2005年8月加盟长盛基金管理有限公司，历任投资管理部基金经理助理、投资管理部总监、2006年至2008年任长盛动态精选基金基金经理、2007年12月至2012年7月任长盛成长价值证券投资基金基金经理，后在2009年5月至2012年5月任长盛同庆可分离交易股票型证券投资基金基金经理，2012年5月至2013年3月任长盛同庆中证800指数分级证券投资基金基金经理。现任公司总经理助理，权益投资部总监，2012年7月至2016年1月任长盛同智优势成长混合型证券投资基金(LOF)基金经理。2013年11月至2017年4月任长盛城镇化主题混合型证券投资基金基金经理。2014年10月至2016年1月任长盛同德主题增长股票型证券投资基金基金经理。2021年8月起任长盛航天海工装备灵活配置混合型证券投资基金、长盛动态精选证券投资基金基金经理。2021年8月起任长盛成长价值证券投资基金基金经理。2021年8月至2022年7月任长盛多因子策略优选股票型证券投资基金基金经理。2021年8月起任长盛量化红利策略混合型证券投资基金基金经理。2021年8月起任长盛量化多策略灵活配置混合型证券投资基金基金经理。
4,1644,150007.SZ,同庆B,长盛基金,中国建设银行,股票型,20090512,20120511,20090526,20090506,20120514,88.1204,1.5,0.25,3.0,1.0,0.1,,沪深300指数收益率*70%+中证全债指数收益率*30%,D,积极成长型,契约型封闭式,,20090526,,E,150007.SZ,20120511,王宁,M,197110,硕士,中国,20090512,20120511,1971年10月出生。毕业于北京大学光华管理学院，EMBA。历任华夏基金管理有限公司基金经理助理，兴业基金经理等职务，2001年至2004年任基金兴业基金经理。2005年8月加盟长盛基金管理有限公司，历任投资管理部基金经理助理、投资管理部总监、2006年至2008年任长盛动态精选基金基金经理、2007年12月至2012年7月任长盛成长价值证券投资基金基金经理，后在2009年5月至2012年5月任长盛同庆可分离交易股票型证券投资基金基金经理，2012年5月至2013年3月任长盛同庆中证800指数分级证券投资基金基金经理。现任公司总经理助理，权益投资部总监，2012年7月至2016年1月任长盛同智优势成长混合型证券投资基金(LOF)基金经理。2013年11月至2017年4月任长盛城镇化主题混合型证券投资基金基金经理。2014年10月至2016年1月任长盛同德主题增长股票型证券投资基金基金经理。2021年8月起任长盛航天海工装备灵活配置混合型证券投资基金、长盛动态精选证券投资基金基金经理。2021年8月起任长盛成长价值证券投资基金基金经理。2021年8月至2022年7月任长盛多因子策略优选股票型证券投资基金基金经理。2021年8月起任长盛量化红利策略混合型证券投资基金基金经理。2021年8月起任长盛量化多策略灵活配置混合型证券投资基金基金经理。
5,1638,150008.SZ,瑞和小康,国投瑞银基金,中国工商银行,股票型,20091014,20200827,20091119,20090917,20200903,14.7937,1.0,0.22,,1.0,0.1,,沪深300指数收益率*95%+银行同业存款利率*5%,D,被动指数型,契约型封闭式,,20091119,,E,150008.SZ,20200827,赵建,M,,博士,中国,20191029,20200827,同济大学管理学博士。曾任上海博弘投资有限公司、上海数君投资有限公司高级软件工程师、风控经理，上海一维科技有限公司研发工程师。2010年6月加入国投瑞银基金管理有限公司。2013年4月2日起任国投瑞银瑞福深证100指数分级证券投资基金的基金经理助理，2013年5月17日起任国投瑞银中证下游消费与服务产业指数基金的基金经理助理，2013年9月26日至2015年8月担任国投瑞银瑞福深证100指数分级证券投资基金基金经理，2014年4月25日至2022年1与月任国投瑞银中证下游消费与服务产业指数证券投资基金基金经理，2015年2月10日起任国投瑞银沪深300金融地产交易型开放式指数证券投资基金联接基金基金经理。2015年3月至2020年6月任国投瑞银瑞泽中证创业成长指数分级证券投资基金基金经理。2015年8月6日起任国投瑞银白银期货证券投资基金(LOF)基金经理。2015年8月起任国投瑞银瑞福深证100指数证券投资基金(LOF)基金经理。2019年10月至2020年8月任国投瑞银瑞和沪深300指数分级证券投资基金基金经理。2019年10月起任国投瑞银沪深 300 金融地产交易型开放式指数证券投资基金基金经理。
6,1639,150009.SZ,瑞和远见,国投瑞银基金,中国工商银行,股票型,20091014,20200827,20091119,20090917,20200903,14.7937,1.0,0.22,,1.0,0.1,,沪深300指数收益率*95%+银行同业存款利率*5%,D,被动指数型,契约型封闭式,,20091119,,E,150009.SZ,20200827,赵建,M,,博士,中国,20191029,20200827,同济大学管理学博士。曾任上海博弘投资有限公司、上海数君投资有限公司高级软件工程师、风控经理，上海一维科技有限公司研发工程师。2010年6月加入国投瑞银基金管理有限公司。2013年4月2日起任国投瑞银瑞福深证100指数分级证券投资基金的基金经理助理，2013年5月17日起任国投瑞银中证下游消费与服务产业指数基金的基金经理助理，2013年9月26日至2015年8月担任国投瑞银瑞福深证100指数分级证券投资基金基金经理，2014年4月25日至2022年1与月任国投瑞银中证下游消费与服务产业指数证券投资基金基金经理，2015年2月10日起任国投瑞银沪深300金融地产交易型开放式指数证券投资基金联接基金基金经理。2015年3月至2020年6月任国投瑞银瑞泽中证创业成长指数分级证券投资基金基金经理。2015年8月6日起任国投瑞银白银期货证券投资基金(LOF)基金经理。2015年8月起任国投瑞银瑞福深证100指数证券投资基金(LOF)基金经理。2019年10月至2020年8月任国投瑞银瑞和沪深300指数分级证券投资基金基金经理。2019年10月起任国投瑞银沪深 300 金融地产交易型开放式指数证券投资基金基金经理。
7,1626,150010.SZ,国泰优先,国泰基金,中国工商银行,股票型,20100210,20130218,20100311,20100118,20130219,4.2155,1.5,0.25,3.0,1.0,0.1,,沪深300指数收益率*80%+中证全债指数收益率*20%,D,稳健增长型,契约型封闭式,,20100311,,E,150010.SZ,20121221,刘夫,M,,硕士,中国,20111223,20130218,硕士研究生，具有基金从业资格，1994年7月至1996年8月就职于人民银行深圳外汇经纪中心，任外汇交易员；1996年8月至1998年5月就职于中创证券公司，任股票交易经理；1998年5月至2000年12月就职于平安保险集团，任债券交易主管；2000年12月至2005年4月就职于宝盈基金管理有限公司，任债券组合经理；2005年4月至2008年4月就职于嘉实基金管理有限公司，任固定投资收益基金经理；2005年4月至2006年5月任嘉实货币A基金的基金经理。2005年4月至2008年4月任嘉实债券基金的基金经理。2008年4月加入国泰基金管理有限公司，2008年6月至2011年1月兼任财富管理中心投资总监，2011年3月至2012年8月任金鑫证券投资基金的基金经理，2011年12月至2013年2月任国泰估值优势可分离交易股票型证券投资基金的基金经理。2012年8月至2013年9月任国泰金龙行业精选基金的基金经理。2013年2月至2013年9月任国泰估值优势基金的基金经理。
8,1627,150011.SZ,国泰进取,国泰基金,中国工商银行,股票型,20100210,20130218,20100311,20100118,20130219,4.2155,1.5,0.25,3.0,1.0,0.1,,沪深300指数收益率*80%+中证全债指数收益率*20%,D,积极成长型,契约型封闭式,,20100311,,E,150011.SZ,20121221,刘夫,M,,硕士,中国,20111223,20130218,硕士研究生，具有基金从业资格，1994年7月至1996年8月就职于人民银行深圳外汇经纪中心，任外汇交易员；1996年8月至1998年5月就职于中创证券公司，任股票交易经理；1998年5月至2000年12月就职于平安保险集团，任债券交易主管；2000年12月至2005年4月就职于宝盈基金管理有限公司，任债券组合经理；2005年4月至2008年4月就职于嘉实基金管理有限公司，任固定投资收益基金经理；2005年4月至2006年5月任嘉实货币A基金的基金经理。2005年4月至2008年4月任嘉实债券基金的基金经理。2008年4月加入国泰基金管理有限公司，2008年6月至2011年1月兼任财富管理中心投资总监，2011年3月至2012年8月任金鑫证券投资基金的基金经理，2011年12月至2013年2月任国泰估值优势可分离交易股票型证券投资基金的基金经理。2012年8月至2013年9月任国泰金龙行业精选基金的基金经理。2013年2月至2013年9月任国泰估值优势基金的基金经理。
9,1622,150012.SZ,中证100A,国联安基金,中国建设银行,股票型,20100416,20201203,20100618,20100318,20201202,2.6308,1.0,0.22,,1.0,0.1,,中证100指数收益率*95%+活期存款利率(税后)*5%,D,被动指数型,契约型封闭式,,20100618,,E,150012.SZ,20101231,冯天戈,M,,硕士,中国,20100416,20101231,"理学硕士,于1996年5月加入海南富岛资产管理有限公司任研究员，2001年10月加入长城基金管理有限公司任研究员、基金经理助理，2003年5月加入国泰基金管理有限公司任基金经理助理，2004年3月起任国泰金鹰增长基金(2017年2月23日起更名为国泰金鹰增长灵活配置证券投资基金)基金经理，2006年9月起兼任国泰金鹏蓝筹价值基金基金经理，2007年4月加入工银瑞信基金管理有限公司，2007年10月加入国联安基金管理有限公司，任副投资总监，2008年3月至2009年9月兼任国联安德盛稳健证券投资基金基金经理，2008年6月至2010年5月兼任国联安德盛安心成长混合型证券投资基金基金经理，2008年10月至2010年5月兼任国联安德盛红利股票证券投资基金基金经理。2010年4月至2010年12月担任国联安双禧中证100指数分级证券投资基金基金经理。"
