,ts_code,name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market
0,017677.OF,中加丰尚纯债C,中加基金,兴业银行,债券型,20221229,,,,,,0.3,0.1,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20221229,20221230,O
1,017512.OF,广发北证50成份A,广发基金,招商银行,股票型,20221228,,,20221129,,2.306,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
2,017513.OF,广发北证50成份C,广发基金,招商银行,股票型,20221228,,,20221129,,2.6927,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
3,007156.OF,京管泰富京元一年定开,北京京管泰富基金,北京银行,债券型,20221228,,,20221227,,50.1,0.3,0.1,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
4,017676.OF,广发积极养老目标五年持有,广发基金,中国农业银行,混合型,20221228,,,20221227,,0.5501,0.8,0.15,,1.0,0.0001,,中证800指数收益率*65%+中债-综合全价(总值)指数收益率*20%+人民币计价的恒生指数收益率*5%+上海黄金交易所Au99.99现货实盘合约收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,,,O
5,017558.OF,华夏中证沪港深500联接C,华夏基金,中国银行,股票型,20221228,,,20221212,,0.0045,0.5,0.1,,1.0,0.0001,,中证沪港深500指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
6,016514.OF,创金合信信用红利E,创金合信基金,招商银行,债券型,20221228,,,,,,0.5,0.15,,1.0,,,中债高信用等级债券财富(1-3年)指数收益率*90%+一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,20221228,20221229,O
7,017678.OF,中加颐合纯债C,中加基金,浦发银行,债券型,20221228,,,,,,0.3,0.1,,1.0,,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,20221228,20221229,O
8,016572.OF,招商中证银行AH价格优选联接A,招商基金,交通银行,股票型,20221228,,,20221216,,0.1025,0.5,0.1,,1.0,0.0001,,中证银行AH价格优选指数(人民币)收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
9,017557.OF,华夏中证沪港深500联接A,华夏基金,中国银行,股票型,20221228,,,20221212,,0.1072,0.5,0.1,,1.0,0.0001,,中证沪港深500指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
10,016573.OF,招商中证银行AH价格优选联接C,招商基金,交通银行,股票型,20221228,,,20221216,,0.0004,0.5,0.1,,1.0,0.0001,,中证银行AH价格优选指数(人民币)收益率*95%+中国人民银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
11,588320.OF,广发中证科创创业50增强策略ETF,广发基金,中信银行,股票型,20221228,,,20221219,,2.3682,0.5,0.05,,1.0,0.1,,中证科创创业50指数收益率,L,增强指数型,契约型开放式,,,,O
12,016827.OF,安信稳健启航一年持有C,安信基金,招商银行,混合型,20221228,,,20221121,,0.2184,0.8,0.2,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,,,O
13,017526.OF,华夏北证50成份C,华夏基金,中国光大银行,股票型,20221228,,,20221129,,1.5828,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+人民币活期存款(税后)利率*5%,L,被动指数型,契约型开放式,,,,O
14,016826.OF,安信稳健启航一年持有A,安信基金,招商银行,混合型,20221228,,,20221121,,1.7972,0.8,0.2,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,,,O
15,017445.OF,上投摩根沪深300指数增强A,上投摩根基金,江苏银行,股票型,20221228,,,20221226,,0.1506,0.5,0.1,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,指数增强型,契约型开放式,,,,O
16,017525.OF,华夏北证50成份A,华夏基金,中国光大银行,股票型,20221228,,,20221129,,0.7171,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+人民币活期存款(税后)利率*5%,L,被动指数型,契约型开放式,,,,O
17,017446.OF,上投摩根沪深300指数增强C,上投摩根基金,江苏银行,股票型,20221228,,,20221226,,0.0,0.5,0.1,,1.0,0.0001,,沪深300指数收益率*95%+银行活期存款利率(税后)*5%,L,指数增强型,契约型开放式,,,,O
18,159656.OF,万家沪深300成长ETF,万家基金,中国建设银行,股票型,20221228,,,20221219,,8.8624,0.5,0.1,,1.0,0.1,,沪深300成长指数收益率,L,被动指数型,契约型开放式,,,,O
19,017441.OF,英大安旸纯债C,英大基金,上海银行,债券型,20221228,,,20221220,,0.0,0.3,0.08,,1.0,0.001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
20,017440.OF,英大安旸纯债A,英大基金,上海银行,债券型,20221228,,,20221220,,10.1,0.3,0.08,,1.0,0.001,,中债综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
21,016986.OF,淳厚瑞和A,淳厚基金,浦发银行,债券型,20221227,,,20221223,,10.2,0.3,0.1,,1.0,0.0001,,中债-综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
22,016987.OF,淳厚瑞和C,淳厚基金,浦发银行,债券型,20221227,,,20221223,,0.0,0.3,0.1,,1.0,0.0001,,中债-综合全价(总值)指数收益率,L,债券型,契约型开放式,,,,O
23,017520.OF,汇添富北证50成份C,汇添富基金,中国建设银行,股票型,20221227,,,20221129,,3.3457,0.5,0.1,,1.0,0.0001,,北证50成份指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
24,017572.OF,华夏中证新能源联接C,华夏基金,中国银行,股票型,20221227,,,20221212,,0.0103,0.5,0.1,,1.0,0.0001,,中证新能源指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
25,017571.OF,华夏中证新能源联接A,华夏基金,中国银行,股票型,20221227,,,20221212,,0.1092,0.5,0.1,,1.0,0.0001,,中证新能源指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
26,017559.OF,华安上证科创板芯片联接A,华安基金,华泰证券,股票型,20221227,,,20221215,,0.1002,0.5,0.1,,1.0,0.0001,,上证科创板芯片指数收益率*95%+商业银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,,,O
27,017438.OF,博时安悦短债A,博时基金,交通银行,债券型,20221227,,,20221205,,0.2983,0.3,0.05,,1.0,0.0001,,中债综合财富(1年以下)指数收益率*90%+一年期定期存款利率(税后)*10%,L,债券型,契约型开放式,,,,O
