,ts_code,bond_full_name,bond_short_name,cb_code,stk_code,stk_short_name,maturity,par,issue_price,issue_size,remain_size,value_date,maturity_date,rate_type,coupon_rate,add_rate,pay_per_year,list_date,delist_date,exchange,conv_start_date,conv_end_date,first_conv_price,conv_price,rate_clause
0,125002.SZ,万科企业股份有限公司可转换公司债券,万科转债,,000002.SZ,万科A,5.0,100.0,,1500000000.0,0.0,2002-06-13,2007-06-13,,,0.0,1,2002-06-28,2004-04-30,SZ,2002-12-13,2007-06-12,12.1,5.85,
1,125009.SZ,中国宝安集团股份有限公司可转换公司债券,宝安转券,,000009.SZ,中国宝安,3.0,1.0,,500000000.0,0.0,1993-01-01,1996-01-01,,,,1,1993-02-10,1996-01-01,SZ,1993-06-01,1995-12-31,25.0,19.392,
2,125069.SZ,深圳华侨城控股股份有限公司可转换公司债券,侨城转债,,000069.SZ,华侨城A,3.0,100.0,,400000000.0,0.0,2003-12-31,2006-12-31,,,,1,2004-01-16,2005-04-29,SZ,2004-07-01,2006-12-30,6.15,6.15,
3,125301.SZ,吴江丝绸股份有限公司可转换公司债券,丝绸转债,,000301.SZ,东方盛虹,5.0,100.0,,200000000.0,0.0,1998-08-28,2003-08-28,,,,1,1998-09-15,2003-08-28,SZ,2000-05-29,2003-08-27,4.1,4.1,
4,126301.SZ,吴江丝绸股份有限公司可转换公司债券,丝绸转2,,000301.SZ,东方盛虹,5.0,100.0,,800000000.0,0.0,2002-09-09,2007-09-09,,,,1,2002-09-24,2006-09-18,SZ,2003-03-10,2007-09-08,8.78,3.0,
5,125502.SZ,海南新能源股份有限公司可转换公司债券,能源转债,,000502.SZ,绿景退,3.0,100.0,,30000000.0,0.0,1991-08-11,1994-08-11,,,,1,,,SZ,1993-06-07,1994-08-10,,,
6,125629.SZ,攀枝花新钢钒股份有限公司可转换公司债券,钢钒转债,,000629.SZ,钒钛股份,5.0,100.0,,1600000000.0,0.0,2003-01-22,2008-01-22,,,3.0,1,2003-02-17,2004-04-14,SZ,2003-07-22,2008-01-21,5.8,5.64,
7,125630.SZ,安徽铜都铜业股份有限公司可转换公司债券,铜都转债,,000630.SZ,铜陵有色,5.0,100.0,,760000000.0,0.0,2003-05-21,2008-05-21,,,7.9,1,2003-06-04,2006-07-11,SZ,2003-11-21,2008-05-15,6.9,4.45,
8,125729.SZ,北京燕京啤酒股份有限公司可转换公司债券,燕京转债,,000729.SZ,燕京啤酒,5.0,100.0,,700000000.0,0.0,2002-10-16,2007-10-16,,,,1,2002-10-31,2007-10-16,SZ,2003-10-16,2007-10-15,10.59,7.06,
9,125898.SZ,鞍钢新轧钢股份有限公司可转换公司债券,鞍钢转债,,000898.SZ,鞍钢股份,5.0,100.0,,1500000000.0,0.0,2000-03-15,2005-03-15,,,,1,2000-04-17,2005-03-14,SZ,2000-09-18,2005-03-14,3.3,2.83,
10,125930.SZ,安徽丰原生物化学股份有限公司可转换公司债券,丰原转债,,000930.SZ,中粮科技,5.0,100.0,,500000000.0,0.0,2003-04-24,2008-04-24,,,,1,2003-05-20,2006-03-24,SZ,2003-10-27,2008-04-22,8.13,2.4,
11,125936.SZ,江苏华西村股份有限公司可转换公司债券,华西转债,,000936.SZ,华西股份,5.0,100.0,,400000000.0,0.0,2003-09-01,2008-09-01,,,2.9,1,2003-09-16,2006-08-21,SZ,2004-03-01,2008-08-31,11.86,2.7,
12,125959.SZ,北京首钢股份有限公司可转换公司债券,首钢转债,,000959.SZ,首钢股份,5.0,100.0,,2000000000.0,0.0,2003-12-16,2008-12-16,,,,1,2003-12-31,2007-04-13,SZ,2004-06-16,2008-12-15,5.76,2.97,
13,125302.SZ,中国石化茂名炼油化工股份有限公司可转换公司债券,茂炼转债,,,,5.0,100.0,,1500000000.0,0.0,1999-07-28,2004-07-28,,,,1,1999-08-17,2004-07-28,SZ,,,,,
14,110001.SH,邯郸钢铁股份有限公司可转换公司债券,邯钢转债,190001,600001.SH,邯郸钢铁,5.0,100.0,,2000000000.0,0.0,2003-11-26,2008-11-26,,,,1,2003-12-11,2007-03-16,SH,2004-05-26,2008-11-25,5.34,3.36,
15,100009.SH,上海国际机场股份有限公司可转换公司债券,机场转债,181009,600009.SH,上海机场,5.0,100.0,,1350000000.0,0.0,2000-02-25,2005-02-25,,,0.0,1,2000-03-16,2004-05-14,SH,2000-08-25,2005-02-24,10.0,7.69,
16,100016.SH,中国民生银行股份有限公司可转换公司债券,民生转债,181016,600016.SH,民生银行,5.0,100.0,,4000000000.0,0.0,2003-02-27,2008-02-27,,,,1,2003-03-18,2008-02-26,SH,2003-08-27,2008-02-26,10.11,2.39,
17,110037.SH,北京歌华有线电视网络股份有限公司可转换公司债券,歌华转债,190037,600037.SH,歌华有线,5.0,100.0,,1250000000.0,0.0,2004-05-12,2009-05-12,,,3.4,1,2004-05-28,2009-05-18,SH,2004-11-12,2009-05-11,22.57,7.47,
18,100087.SH,南京水运实业股份有限公司可转换公司债券,水运转债,181087,600087.SH,退市长油,5.0,100.0,,320000000.0,0.0,2002-08-13,2007-08-13,,,0.0,1,2002-08-28,2007-04-11,SH,2003-08-13,2007-08-12,12.09,5.41,
19,100096.SH,云南云天化股份有限公司可转换公司债券,云化转债,181096,600096.SH,云天化,3.0,100.0,,410000000.0,0.0,2003-09-10,2006-09-10,,,,1,2003-09-25,2006-09-09,SH,2004-03-10,2006-09-09,9.43,5.8,
20,100117.SH,西宁特殊钢股份有限公司可转换公司债券,西钢转债,181117,600117.SH,西宁特钢,5.0,100.0,,490000000.0,0.0,2003-08-11,2008-08-11,,,3.8,1,2003-08-26,2007-06-14,SH,2004-02-11,2008-08-10,5.34,4.85,
21,100177.SH,雅戈尔集团股份有限公司可转换公司债券,雅戈转债,181177,600177.SH,雅戈尔,3.0,100.0,,1190000000.0,0.0,2003-04-03,2006-04-03,,,2.2,1,2003-04-21,2006-04-10,SH,2003-10-08,2006-04-02,9.68,3.35,
22,100196.SH,上海复星实业股份有限公司可转换公司债券,复星转债,181196,600196.SH,复星医药,5.0,100.0,,950000000.0,0.0,2003-10-28,2008-10-28,,,3.0,1,2003-11-17,2006-07-24,SH,2004-04-28,2008-10-27,10.06,5.03,
23,100220.SH,江苏阳光股份有限公司可转换公司债券,阳光转债,181220,600220.SH,江苏阳光,3.0,100.0,,830000000.0,0.0,2002-04-18,2005-04-18,,,,1,2002-05-16,2005-04-25,SH,2003-04-18,2005-04-17,11.46,3.8,
24,100236.SH,广西桂冠电力股份有限公司可转换公司债券,桂冠转债,181236,600236.SH,桂冠电力,5.0,100.0,,800000000.0,0.0,2003-06-30,2008-06-30,,,8.0,1,2003-07-15,2008-07-04,SH,2004-06-30,2008-06-29,12.88,5.77,
25,100001.SH,南宁化工股份有限公司可转换公司债券,南化转债,181001,600301.SH,南化股份,5.0,100.0,,150000000.0,0.0,1998-08-03,2003-08-03,,,,1,1998-09-02,2001-05-28,SH,2000-07-12,2003-08-02,4.56,4.56,
